Date;Price;Open;High;Low;Vol;Change
10/22/2019;6825;6850;6850;6750;31.03M;0.37%
10/21/2019;6800;6800;6825;6700;41.81M;0.37%
10/18/2019;6775;6675;6875;6650;58.77M;1.12%
10/17/2019;6700;6625;6700;6625;75.02M;1.13%
10/16/2019;6625;6600;6650;6550;59.49M;0.76%
10/15/2019;6575;6550;6600;6500;47.07M;-0.38%
10/14/2019;6600;6625;6675;6500;32.64M;0.76%
10/11/2019;6550;6500;6650;6475;48.41M;0.38%
10/10/2019;6525;6425;6600;6425;60.13M;1.56%
10/09/2019;6425;6450;6475;6400;27.57M;-1.15%
10/08/2019;6500;6350;6500;6350;52.50M;2.36%
10/07/2019;6350;6475;6475;6325;18.33M;-0.78%
10/04/2019;6400;6450;6525;6325;34.56M;0.00%
10/03/2019;6400;6525;6525;6275;73.39M;-1.92%
10/02/2019;6525;6875;6950;6500;64.79M;-5.43%
10/01/2019;6900;6900;7050;6900;15.62M;-1.08%
09/30/2019;6975;6900;6975;6900;29.15M;0.00%
09/27/2019;6975;7000;7050;6950;22.16M;-1.76%
09/26/2019;7100;7000;7100;6950;22.74M;2.90%
09/25/2019;6900;6975;7000;6875;18.78M;-0.72%
09/24/2019;6950;6925;6975;6850;26.06M;-0.71%
09/23/2019;7000;7050;7100;6950;24.51M;-1.06%
09/20/2019;7075;7100;7150;6975;52.37M;-0.35%
09/19/2019;7100;7175;7175;7075;17.97M;-1.39%
09/18/2019;7200;7075;7200;7050;26.85M;3.23%
09/17/2019;6975;6925;7100;6925;35.50M;-0.36%
09/16/2019;7000;7050;7100;6925;33.31M;-2.78%
09/13/2019;7200;7225;7250;7125;14.35M;0.70%
09/12/2019;7150;7250;7325;7100;42.28M;0.00%
09/11/2019;7150;7000;7150;6950;40.39M;1.42%
09/10/2019;7050;6900;7050;6900;26.04M;1.08%
09/09/2019;6975;7075;7075;6925;27.92M;-1.06%
09/06/2019;7050;7025;7150;6975;44.32M;1.08%
09/05/2019;6975;7000;7025;6925;39.32M;0.72%
09/04/2019;6925;6975;6975;6850;37.22M;0.36%
09/03/2019;6900;7175;7200;6825;48.50M;-3.83%
09/02/2019;7175;7225;7225;7125;18.81M;-1.03%
08/30/2019;7250;7125;7250;7075;53.19M;2.47%
08/29/2019;7075;7050;7100;7025;31.87M;0.35%
08/28/2019;7050;7025;7100;6950;48.04M;0.36%
08/27/2019;7025;7050;7125;7025;76.60M;-0.35%
08/26/2019;7050;7100;7100;7000;39.31M;-1.74%
08/23/2019;7175;7250;7250;7150;22.27M;-0.69%
08/22/2019;7225;7300;7325;7150;38.83M;0.00%
08/21/2019;7225;7325;7350;7225;24.92M;-2.03%
08/20/2019;7375;7425;7450;7300;37.70M;0.34%
08/19/2019;7350;7450;7450;7325;19.28M;-0.34%
08/16/2019;7375;7400;7425;7325;23.85M;-0.34%
08/15/2019;7400;7350;7400;7300;28.73M;-1.33%
